Sample,Filter,Layers,Date,dP,pen_total,0.3,0.37,0.46,0.57,0.71,0.88,1.09,1.35,1.68,2.08,2.58,3.2,3.96,4.92,6.1,7.56,9.37,Total
1,SMT_FB_THCK,1,06/25/2021,5,0.9747621564,0.9885030713,0.9891306061,0.9927713841,0.9867383003,0.9938671705,1.008876553,0.9928472913,0.9780856423,0.9620881472,0.8534599729,0.8490566038,0.5333333333,1.142857143,nan,nan,nan,nan,0.9897673978
2,SMT_FB_THCK,1,06/25/2021,4,0.904527176,0.9546140116,0.9329205944,0.9106353089,0.8869390582,0.8653780943,0.8627930479,0.8261396238,0.8256335079,0.7751707232,0.8164116829,0.701754386,0.5,0,nan,nan,nan,nan,0.9309059473
3,SMT_FB_THCK,1,06/25/2021,5,0.9263502455,0.9572586767,0.9385093289,0.9241770425,0.9001088486,0.8831490368,0.8957484131,0.8869129047,0.8585703305,0.8154398564,0.7256766642,0.6538461538,0.2666666667,0,nan,nan,nan,nan,0.9386739031
4,SMT_FB_REG,1,06/25/2021,2,0.9414276184,0.9730106462,0.9566974913,0.9317329688,0.9019704804,0.8840420524,0.8816415883,0.8586451789,0.8777372263,0.8349699685,0.8717131474,0.9684210526,1.733333333,1,0,nan,nan,nan,0.9518412013
5,SMT_FB_REG,1,06/25/2021,2,1.002610607,0.9812393371,0.9840390447,0.9952510497,0.9994725592,0.9921589444,1.033756114,1.02403791,1.03468238,1.036463593,0.9295516926,0.8865979381,1.333333333,2,0,nan,nan,nan,0.9874489234
6,SMT_FB_REG,1,06/25/2021,1,0.9412175858,0.9582224856,0.9512804935,0.9401534573,0.9157210402,0.8849413136,0.884605154,0.8898989453,0.8742245469,0.8675324675,0.8234042553,0.6153846154,0.875,1,nan,nan,nan,nan,0.9474927172
7,PELL_915,1,06/25/2021,2,0.9693188491,0.985442647,0.9845511166,0.9767828448,0.9751992556,0.9703362159,0.9856248379,0.984710141,1.002943282,1.02191632,1.031007752,0.847826087,0.6666666667,0.6666666667,0,nan,nan,nan,0.9831832617
8,PELL_915,1,06/25/2021,2,0.9630645161,0.9695982298,0.9592168787,0.9568338656,0.9473416119,0.9306374614,0.949406482,0.9449798373,0.9571748879,0.9359801489,0.9487179487,0.7692307692,1,2,0,nan,nan,nan,0.9629111742
9,PELL_915,1,06/25/2021,2,0.9514878269,0.9592449369,0.95476227,0.9681750188,0.9692721633,0.9640226554,0.9848435285,0.9849182697,0.9988649262,0.9664011084,0.8962818004,1.12,1.6,2,nan,nan,nan,nan,0.9603332786
10,ADVANCHK_SMS,1,06/25/2021,23,0.7555639381,0.8423340257,0.777534384,0.6992059992,0.6304640764,0.5773789278,0.4863560095,0.4189386056,0.3359611886,0.2931893688,0.2319474836,0.1785714286,0,0,nan,nan,nan,nan,0.7848032458
11,ADVANCHK_SMS,1,06/25/2021,21,0.8110014104,0.8819053408,0.8384969113,0.7741051595,0.7257703533,0.6648196436,0.5621079046,0.4980762504,0.4899882214,0.3852794184,0.2913907285,0.1935483871,0,0,0,nan,nan,nan,0.8399024741
12,ADVANCHK_SMS,1,06/25/2021,19,0.8048484848,0.8872242602,0.8430287148,0.7862594969,0.7363778284,0.676727834,0.5779717228,0.5390447309,0.4856999498,0.4055343511,0.256302521,0.2153846154,0.2222222222,0,0,0,nan,nan,0.8467574076
16,PELL_930,1,06/25/2021,1,0.9850147493,0.9872752603,0.9924318665,0.9959352856,1.005764823,0.9947076354,1.015257886,0.9781728173,1.026198934,0.9624947324,0.94921875,0.6896551724,0.5555555556,0,nan,0,nan,nan,0.9913502294
